"id","user_id","ratable_id","ratable_type","rating","created_at","updated_at","comment"
"176","376","18144","Product","5","2013-12-24 07:50:36","2013-12-24 07:50:36",NULL
"177","475","23912","Product","5","2013-12-24 15:03:55","2013-12-24 15:03:55",NULL
"178","512","18184","Product","5","2013-12-27 15:17:58","2013-12-27 15:17:58",NULL
"179","512","25266","Product","5","2013-12-27 15:19:11","2013-12-27 15:19:11","This is the best option if you aren't drinking raw milk. Their yogurt is my favorite."
"180","512","25268","Product","5","2013-12-27 15:24:23","2013-12-27 15:24:23","Best plain yogurt out there! "
"181","198","22501","Product","5","2013-12-27 17:46:10","2013-12-27 17:46:10","This is a new product of theirs. Live the tangy taste. "
"182","198","22375","Product","5","2013-12-27 17:49:41","2013-12-27 17:49:41","We've been ordering this raw sour creme for 5 years and I can't live without it. Heavenly!"
"183","198","27815","Product","4","2013-12-27 17:51:05","2013-12-27 17:51:05","Happy to find this brand in my Whole Foods for the times I run out of eggs from my local farmer. "
"184","198","21176","Product","4","2013-12-27 17:52:53","2013-12-27 17:52:53","Happy with this butter! I heard the cows are grass fed/pastured. Tastes mild and delicious"
"185","198","17159","Product","5","2013-12-27 18:11:09","2013-12-27 18:11:09","Shocked and thrilled to see B&J has one acceptable flavor! Yay!"
"186","198","21198","Product","4","2013-12-27 18:12:23","2013-12-27 18:12:23","This is great for birthday parties"
"187","198","27759","Product","5","2013-12-27 18:15:40","2013-12-27 18:15:40","A staple in our home. "
"188","198","27785","Product","5","2013-12-27 18:17:48","2013-12-27 18:17:48","Fantastic for travel"
"189","198","27784","Product","5","2013-12-27 18:18:01","2013-12-27 18:18:01","Fantastic for travel"
"190","198","27770","Product","5","2013-12-27 18:20:17","2013-12-27 18:20:17","Love these! So quick to thaw and saut̩ for fast protein. "
"191","198","27754","Product","5","2013-12-27 18:20:54","2013-12-27 18:20:54","A staple in our home. We like ""skin on"""
"192","198","27803","Product","5","2013-12-27 18:22:24","2013-12-27 18:22:24","This brand freezes their fruit in a way that doesn't make them all mush after thawing. I can't find frozen blueberries like these in grocery store. "
"193","503","21105","Product","5","2013-12-27 21:44:33","2013-12-27 21:44:33","Great for when your craving a sandwhich.
"
"194","525","25268","Product","5","2013-12-28 06:33:52","2013-12-28 06:33:52","Definitely the best!"
"195","326","16727","Product","5","2013-12-28 19:23:25","2013-12-28 19:23:25","Simply the best. Hamburger is outstanding. Makes the best meat loaf. Kidney fat and bones make great staples for frying and making stock"
"196","326","16726","Product","5","2013-12-28 19:23:49","2013-12-28 19:23:49",NULL
"197","326","20412","Product","5","2013-12-28 19:24:52","2013-12-28 19:24:52",NULL
"198","536","18348","Product","1","2013-12-28 23:30:10","2013-12-28 23:30:10","This farm is impossible to get a hold of. Between the complete lack of communication, and the fact that they stopped doing drop offs in convenient places and notified their customers one day in advance, it's just not worth it. I would find another farm. One that appreciates your business. "
"199","540","17637","Product","5","2013-12-29 02:15:51","2013-12-29 02:15:51","The best tasting and fastest acting ACV."
"200","555","24930","Product","5","2013-12-29 23:39:37","2013-12-29 23:39:37","The cleanest product out there! Great flavor, the only substitute for homemade!"
"201","555","20411","Product","5","2013-12-29 23:42:26","2013-12-29 23:42:26","Great for cooking, not too coconut flavored "
"202","559","20412","Product","5","2013-12-30 01:56:28","2013-12-30 01:56:28","Excellent! I take this everyday with the X-Factor Butter. "
"203","563","26371","Product","5","2013-12-30 03:57:12","2013-12-30 03:57:12","It still has cream inside. Very yummy. My bf says it reminds him of Germany. I would like full raw but for now it's the next best thing."
"204","561","23840","Product","5","2013-12-30 05:20:26","2013-12-30 05:20:26","Buy it every week at the farmers market. "
"205","561","26371","Product","1","2013-12-30 05:21:51","2013-12-30 05:21:51","I read in cornucopia listings that this dairy was being downgraded. I'm concerned that the cows aren't grassfed. "
"206","578","16846","Product","5","2013-12-30 21:15:01","2013-12-30 21:15:01",NULL
"207","578","19270","Product","5","2013-12-30 21:22:10","2013-12-30 21:22:10","Very good flavor. They dry out very quickly "
"208","602","20412","Product","5","2014-01-01 00:27:34","2014-01-01 00:27:34","I like the non flavored one"
"209","513","25461","Product","5","2014-01-01 07:06:51","2014-01-01 07:06:51",NULL
"210","384","23084","Product","5","2014-01-01 11:46:29","2014-01-01 11:46:29",NULL
"211","384","27411","Product","5","2014-01-01 11:47:18","2014-01-01 11:47:18",NULL
"212","384","25831","Product","5","2014-01-01 11:47:54","2014-01-01 11:47:54",NULL
"213","384","22392","Product","5","2014-01-01 11:49:40","2014-01-01 11:49:40","This butter has a wonderful taste
"
"214","384","19182","Product","5","2014-01-01 12:11:05","2014-01-01 12:11:05",NULL
"215","384","24943","Product","5","2014-01-01 12:11:52","2014-01-01 12:11:52",NULL
"216","613","18184","Product","5","2014-01-01 14:13:33","2014-01-01 14:13:33",NULL
"217","613","26371","Product","4","2014-01-01 14:14:05","2014-01-01 14:14:05",NULL
"218","613","23912","Product","5","2014-01-01 14:15:44","2014-01-01 14:15:44",NULL
"219","613","21176","Product","5","2014-01-01 14:16:18","2014-01-01 14:16:18",NULL
"220","613","26376","Product","5","2014-01-01 14:16:56","2014-01-01 14:16:56",NULL
"221","613","18476","Product","5","2014-01-01 14:18:31","2014-01-01 14:18:31",NULL
"222","613","26073","Product","5","2014-01-01 14:19:41","2014-01-01 14:19:41",NULL
"223","613","17593","Product","5","2014-01-01 14:20:50","2014-01-01 14:20:50",NULL
"224","613","25268","Product","5","2014-01-01 14:21:23","2014-01-01 14:21:23",NULL
"225","616","20684","Product","2","2014-01-01 15:32:36","2014-01-01 15:32:36","One of the better local sources if you are not participating in a cow share and have the option of local farm raw milk."
